Filename,Size,Unit
01 Wally Lopez/07 Wally Lopez & Dr Kucho - Patricia Never Leaves The House [Bugged Out; BUG003] Vinyl 2001/B1 Wally Lopez & Dr Kucho - House Park.mp3,11.25,M
01 Wally Lopez/08 Dr. Kucho! & Wally Lopez - La Factoria [Boncho Music; BM004] Vinyl 2001/A1 Dr. Kucho! & Wally Lopez - La Factoria.mp3,19.84,M
01 Wally Lopez/08 Dr. Kucho! & Wally Lopez - La Factoria [Boncho Music; BM004] Vinyl 2001/B1 Dr. Kucho! & Wally Lopez - Devil Square.mp3,19.71,M
01 Wally Lopez/09 Dr. Kucho! & Wally Lopez - Madrid Beats! [The Factoria; FACTO 002] Vinyl 2001/B1 Dr. Kucho! & Wally Lopez - Fireworks.mp3,10.55,M
01 Wally Lopez/09 Dr. Kucho! & Wally Lopez - Madrid Beats! [The Factoria; FACTO 002] Vinyl 2001/A1 Dr. Kucho! & Wally Lopez - The Spectrum 16K.mp3,10.18,M
01 Wally Lopez/09 Dr. Kucho! & Wally Lopez - Madrid Beats! [The Factoria; FACTO 002] Vinyl 2001/B2 Dr. Kucho! & Wally Lopez - No Fireworks.mp3,9.19,M
"01 Wally Lopez/10 Indart, Wally & Kucho - Virus EP [Weekend Records; WEEK 015] Vinyl 2001/B1 Indart, Wally & Kucho - The Freak.mp3",10.28,M
"01 Wally Lopez/10 Indart, Wally & Kucho - Virus EP [Weekend Records; WEEK 015] Vinyl 2001/A1 Indart, Wally & Kucho - The Sea.mp3",10.06,M
"01 Wally Lopez/10 Indart, Wally & Kucho - Virus EP [Weekend Records; WEEK 015] Vinyl 2001/A2 Indart, Wally & Kucho - The Devil.mp3",8.63,M
"01 Wally Lopez/10 Indart, Wally & Kucho - Virus EP [Weekend Records; WEEK 015] Vinyl 2001/Indart, Wally & Kucho - Virus EP [Weekend Records WEEK 015] Vinyl 2001.m3u",122,B
01 Wally Lopez/11 Wally Lopez - Amman E.P. [Fluential; fluent 21] Vinyl 2001/A1 Wally Lopez - Amman Retouched Dub.mp3,10.5,M
01 Wally Lopez/11 Wally Lopez - Amman E.P. [Fluential; fluent 21] Vinyl 2001/B2 Wally Lopez - Helicopter.mp3,9.68,M
01 Wally Lopez/11 Wally Lopez - Amman E.P. [Fluential; fluent 21] Vinyl 2001/B1 Wally Lopez - Sharks.mp3,9.02,M
01 Wally Lopez/12 Wally Lopez - No More (We're Fucked) [Bonus Tracks; BONUS003] Vinyl 2002/B1 Wally Lopez - The Undersound.mp3,12.6,M
01 Wally Lopez/12 Wally Lopez - No More (We're Fucked) [Bonus Tracks; BONUS003] Vinyl 2002/A1 Wally Lopez - No More (We're Fucked).mp3,9.04,M
"01 Wally Lopez/13 Indart, Wally & Kucho - Virus EP Part 2 [Weekend Records; WEEK 021] Vinyl 2002/B1 Indart, Wally & Kucho - Housito Suavecito.mp3",10.76,M
"01 Wally Lopez/13 Indart, Wally & Kucho - Virus EP Part 2 [Weekend Records; WEEK 021] Vinyl 2002/A1 Indart, Wally & Kucho - Comando Heaven.mp3",9.91,M
"01 Wally Lopez/13 Indart, Wally & Kucho - Virus EP Part 2 [Weekend Records; WEEK 021] Vinyl 2002/B2 Indart, Wally & Kucho - Comando Heaven (Remix) [missed].mp3",0,B
01 Wally Lopez/14 Wally Lopez & Dr. Kucho - Weekend EP [Weekend Records; WEEK 023] Vinyl 2002/B1 Wally Lopez & Dr. Kucho - Shepherd Divine Street.mp3,13.66,M
01 Wally Lopez/14 Wally Lopez & Dr. Kucho - Weekend EP [Weekend Records; WEEK 023] Vinyl 2002/A2 Wally Lopez & Dr. Kucho - Acid Journey.mp3,12.87,M
01 Wally Lopez/14 Wally Lopez & Dr. Kucho - Weekend EP [Weekend Records; WEEK 023] Vinyl 2002/A1 Wally Lopez & Dr. Kucho - Necromonicon.mp3,9.91,M
01 Wally Lopez/15 Wally Lopez - Factorizando! [The Factoria; FACTO 003] Vinyl 2002/A1 Wally Lopez - Factorizando!.mp3,13.93,M
01 Wally Lopez/15 Wally Lopez - Factorizando! [The Factoria; FACTO 003] Vinyl 2002/B1 Wally Lopez - Alone In The Dark.mp3,13.91,M
01 Wally Lopez/16 Wally Lopez - Disco Night [Weekend Records; WEEK 024] Vinyl 2001/B1 Wally Lopez - Good Evening.mp3,12.07,M
01 Wally Lopez/16 Wally Lopez - Disco Night [Weekend Records; WEEK 024] Vinyl 2001/A1 Wally Lopez - Disco Night.mp3,11.88,M
01 Wally Lopez/16 Wally Lopez - Disco Night [Weekend Records; WEEK 024] Vinyl 2001/A2 Wally Lopez - Disco Night (Dub).mp3,9.77,M
01 Wally Lopez/17 Fafa Monteco presents Wally Lopez - Factorizando Mixes [Hypnotic Music; HYPNO 021] Vinyl 2003/A1 Wally Lopez - Factorizando (Wally's Telescopic Probe Original).mp3,13.93,M
01 Wally Lopez/17 Fafa Monteco presents Wally Lopez - Factorizando Mixes [Hypnotic Music; HYPNO 021] Vinyl 2003/B1 Wally Lopez - Factorizando (Tony Thomas Hot Mix).mp3,11.62,M
01 Wally Lopez/17 Fafa Monteco presents Wally Lopez - Factorizando Mixes [Hypnotic Music; HYPNO 021] Vinyl 2003/A2 Wally Lopez - Factorizando (Fafa's J'ai Vire Le Break Re-Edit).mp3,11.45,M
01 Wally Lopez/18 Wally Lopez - Tribute To Acid House [Underwater Records; H2O 034] Vinyl 2003/A1 Wally Lopez - Tribute To Acid House.mp3,13.5,M
01 Wally Lopez/18 Wally Lopez - Tribute To Acid House [Underwater Records; H2O 034] Vinyl 2003/B1 Wally Lopez - San Blasdisco.mp3,9.92,M
01 Wally Lopez/19 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Remixes) [Bugged Out; BUG010] Vinyl 2003/B1 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Justin Robertson Remix).mp3,8.95,M
01 Wally Lopez/19 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Remixes) [Bugged Out; BUG010] Vinyl 2003/A1 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Umek's Earresistible Mix).mp3,7.17,M
01 Wally Lopez/19 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Remixes) [Bugged Out; BUG010] Vinyl 2003/B2 Dr. Kucho & Wally Lopez - Patricia Never Leaves The House (Wally Lopez & Dr Kucho 2003 Edit).mp3,5.56,M
01 Wally Lopez/20 Dr. Kucho & Wally Lopez - La Luna [Aphrodogz; APHRO 006] Vinyl 2003/A1 Dr. Kucho & Wally Lopez - La Luna (Original).mp3,11.45,M
01 Wally Lopez/20 Dr. Kucho & Wally Lopez - La Luna [Aphrodogz; APHRO 006] Vinyl 2003/B1 Dr. Kucho & Wally Lopez - La Luna (Tom D Remix).mp3,9.24,M
01 Wally Lopez/20 Dr. Kucho & Wally Lopez - La Luna [Aphrodogz; APHRO 006] Vinyl 2003/B2 Dr. Kucho & Wally Lopez - La Luna (Edit).mp3,5.83,M
01 Wally Lopez/21 Wally Lopez & Cesar Del Rio - Nixon Tells The Truth [Weekend Records; WEEK032] Vinyl 2003/A1 Wally Lopez & Cesar Del Rio - Nixon Tells The Truth.mp3,12.36,M
01 Wally Lopez/21 Wally Lopez & Cesar Del Rio - Nixon Tells The Truth [Weekend Records; WEEK032] Vinyl 2003/B1 Wally Lopez & Cesar Del Rio - Drah.mp3,8.85,M
01 Wally Lopez/21 Wally Lopez & Cesar Del Rio - Nixon Tells The Truth [Weekend Records; WEEK032] Vinyl 2003/A2 Wally Lopez & Cesar Del Rio - Nixappella.mp3,1.2,M
01 Wally Lopez/22 Wally Lopez - The Vibe [Weekend Records; WEEK036] Vinyl 2003/A1 Wally Lopez - The Vibe (Original).mp3,9.86,M
01 Wally Lopez/22 Wally Lopez - The Vibe [Weekend Records; WEEK036] Vinyl 2003/B1 Wally Lopez - The Vibe (David Ferrero Remix).mp3,8.54,M
01 Wally Lopez/23 Wally Lopez - I'm Coming To London [The Factoria; FACTO 005] Vinyl 2003/A1 Wally Lopez - I'm Coming To London.mp3,11.9,M
01 Wally Lopez/23 Wally Lopez - I'm Coming To London [The Factoria; FACTO 005] Vinyl 2003/B2 Wally Lopez - We Are Coming To London (Valentino Kanzyani & Kick E RMX).mp3,11.74,M
01 Wally Lopez/23 Wally Lopez - I'm Coming To London [The Factoria; FACTO 005] Vinyl 2003/B1 Wally Lopez - I'm Coming To London (David Gausa Barcelona RMX).mp3,11.52,M
01 Wally Lopez/24 Wally Lopez - Voila [The Factoria; FACTO 007] Vinyl 2003/B2 Wally Lopez - Voila (Fafa Monteco Remix).mp3,11.07,M
01 Wally Lopez/24 Wally Lopez - Voila [The Factoria; FACTO 007] Vinyl 2003/B1 Wally Lopez - Voila (No Strings Version).mp3,10.76,M
01 Wally Lopez/24 Wally Lopez - Voila [The Factoria; FACTO 007] Vinyl 2003/A1 Wally Lopez - Voila (Original Side).mp3,10.75,M
01 Wally Lopez/25 Wally Lopez - I'm Coming To London (Album Sampler) [The Factoria; FACTO 001LP] Vinyl 2004/B2 Wally Lopez - Voila (D. Chatelain vs. Berbis Rmx).mp3,11.39,M
01 Wally Lopez/25 Wally Lopez - I'm Coming To London (Album Sampler) [The Factoria; FACTO 001LP] Vinyl 2004/A1 Madrid Beats - Fireworks.mp3,10.55,M
01 Wally Lopez/25 Wally Lopez - I'm Coming To London (Album Sampler) [The Factoria; FACTO 001LP] Vinyl 2004/B1 Wally Lopez - I'm Coming To London (Santacana vs. Lopez Rmx).mp3,10.29,M
01 Wally Lopez/25 Wally Lopez - I'm Coming To London (Album Sampler) [The Factoria; FACTO 001LP] Vinyl 2004/A2 Madrid Beats - The Spectrum 16k.mp3,10.18,M
01 Wally Lopez/26 Wally Lopez - Absolut Wally Lopez [Absoluttracks.com; AL07] Vinyl 2004/A1 Wally Lopez - Absolut Wally Lopez.mp3,11.65,M
01 Wally Lopez/27 Wally Lopez & David Ferrero - Going Insane [House Park; PARK001] Vinyl 2004/A1 Wally Lopez & David Ferrero - Going Insane (Original Mix).mp3,12.57,M
01 Wally Lopez/27 Wally Lopez & David Ferrero - Going Insane [House Park; PARK001] Vinyl 2004/B2 Wally Lopez & David Ferrero - Going Insane (Steve Mac Bongoloid Remix).mp3,10.66,M
01 Wally Lopez/27 Wally Lopez & David Ferrero - Going Insane [House Park; PARK001] Vinyl 2004/B1 Wally Lopez & David Ferrero - Going Insane (David Ferrero Remix).mp3,10.07,M
01 Wally Lopez/28 Wally Lopez & Cesar Del Rio - Le Mans EP [Formula Records; F-001] Vinyl 2004/B1 Wally Lopez & Cesar Del Rio - Are U Ready (Niki B & Christian EFFE Remix).mp3,11.77,M
01 Wally Lopez/28 Wally Lopez & Cesar Del Rio - Le Mans EP [Formula Records; F-001] Vinyl 2004/A1 Wally Lopez & Cesar Del Rio - Are U Ready (Original Mix).mp3,10.56,M
01 Wally Lopez/29 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 012] Vinyl 2005/A1 Wally Lopez & David Ferrero - Ca C'est Paris (Original Mix).mp3,23.75,M
01 Wally Lopez/29 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 012] Vinyl 2005/B1 Wally Lopez & David Ferrero - Ca C'est Paris (G-Pal Lunatic Mix).mp3,22.48,M
01 Wally Lopez/30 Wally Lopez - Jarama EP [Formula Records; F-004] Vinyl 2005/B2 Wally Lopez - Shake It Like (Diego Cid & DJ Caro Mix).mp3,15.13,M
01 Wally Lopez/30 Wally Lopez - Jarama EP [Formula Records; F-004] Vinyl 2005/A1 Wally Lopez - Shake It Like (Original Mix).mp3,12.43,M
01 Wally Lopez/30 Wally Lopez - Jarama EP [Formula Records; F-004] Vinyl 2005/B1 Wally Lopez - Shake It Like (David Amo & Julio Navas Remix).mp3,11.05,M
01 Wally Lopez/31 Wally Lopez feat. Beatmaster G - Do You Wanna Dance With Me [The Factoria; FACTOPACHA-001] Vinyl 2005/A1 Wally Lopez feat. Beatmaster G - Do You Wanna Dance With Me (Original Mix).mp3,13.32,M
01 Wally Lopez/31 Wally Lopez feat. Beatmaster G - Do You Wanna Dance With Me [The Factoria; FACTOPACHA-001] Vinyl 2005/B1 Wally Lopez feat. Beatmaster G - Do You Wanna Dance With Me (Stump Jumper Mix).mp3,11.54,M
01 Wally Lopez/32 Wally Lopez - I'm Coming To London (The Remixes) [Seven Limited Records; SLR-002] Vinyl 2006/A1 Wally Lopez - I'm Coming To London (Low End Specialists' ''Fish&Chips' Dub).mp3,10.61,M
01 Wally Lopez/32 Wally Lopez - I'm Coming To London (The Remixes) [Seven Limited Records; SLR-002] Vinyl 2006/B1 Wally Lopez - I'm Coming To London (Steve Porter's ''Epic Funk'' Mix).mp3,9.51,M
01 Wally Lopez/32 Wally Lopez - I'm Coming To London (The Remixes) [Seven Limited Records; SLR-002] Vinyl 2006/B2 Wally Lopez - I'm Coming To London (Wally Lopez's ''Air Tight'' Edit).mp3,8.86,M
01 Wally Lopez/33 Wally Lopez - Perceptions Of Pacha Vol. 2 The Remixes Part Three [The Factoria; FACTOPACHA-003] Vinyl 2006/A1 Wally Lopez - Outside.mp3,12.73,M
01 Wally Lopez/33 Wally Lopez - Perceptions Of Pacha Vol. 2 The Remixes Part Three [The Factoria; FACTOPACHA-003] Vinyl 2006/B1 Wally Lopez - Strings Action.mp3,9.77,M
01 Wally Lopez/34 Wally Lopez - Triax 250 [Ideal Muzik; IM007] Vinyl 2006/B1 Wally Lopez - Triax 250 (Miraj Weekday Mix).mp3,16.49,M
01 Wally Lopez/34 Wally Lopez - Triax 250 [Ideal Muzik; IM007] Vinyl 2006/A1 Wally Lopez - Triax 250 (Original Mix).mp3,13.7,M
"01 Wally Lopez/35 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down [Manana Records; MORNING 012] Vinyl 2006/B1 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down (Henrik B Remix).mp3",11.4,M
"01 Wally Lopez/35 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down [Manana Records; MORNING 012] Vinyl 2006/A1 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down (DJ Rew Remix).mp3",11.32,M
"01 Wally Lopez/35 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down [Manana Records; MORNING 012] Vinyl 2006/B2 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down (Original Version).mp3",10.44,M
01 Wally Lopez/36 Wally Lopez - Seven Days And One Week 2006 [Vendetta Records; VENMX 686 (N)] Vinyl 2006/A1 Wally Lopez - Seven Days And One Week 2006.mp3,17.26,M
01 Wally Lopez/36 Wally Lopez - Seven Days And One Week 2006 [Vendetta Records; VENMX 686 (N)] Vinyl 2006/B1 Wally Lopez - Last Odissey.mp3,12.58,M
01 Wally Lopez/37 Lopez - On The Dancefloor & Made In Spain [The Factoria; FACTO 018] Vinyl 2006/B1 Lopez - Made In Spain.mp3,14.07,M
01 Wally Lopez/37 Lopez - On The Dancefloor & Made In Spain [The Factoria; FACTO 018] Vinyl 2006/A1 Lopez - On The Dancefloor.mp3,12.64,M
"01 Wally Lopez/38 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down Mixes [Joia Records; JOIA 047] Vinyl 2008/B1 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down (Ivan Pica & Oscar L Factomania Remix).mp3",16.36,M
"01 Wally Lopez/38 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down Mixes [Joia Records; JOIA 047] Vinyl 2008/A1 Wally Lopez, Rene Amesz & Peter Gelderblom - Strike Me Down (DJ Pedro & Stephan M Remix).mp3",14.67,M
01 Wally Lopez/40 Wally Lopez - Go Ahead! [The Factoria; FACTO 025] Vinyl 2008/A1 Wally Lopez - Go Ahead! (Original Mix).mp3,13.15,M
01 Wally Lopez/40 Wally Lopez - Go Ahead! [The Factoria; FACTO 025] Vinyl 2008/B1 Wally Lopez - Go Ahead! (Patric La Funk Remix).mp3,10.39,M
01 Wally Lopez/40 Wally Lopez - Go Ahead! [The Factoria; FACTO 025] Vinyl 2008/B2 Wally Lopez - Go Ahead! (Cristian Varela Remezclote Remix).mp3,9.83,M
01 Wally Lopez/41 Wally Lopez & Ismael Rivas - Rock The Box [Go Deeva; GDV 08-01] Vinyl 2008/A1 Wally Lopez & Ismael Rivas - Rock The Box (Original Mix).mp3,19.9,M
01 Wally Lopez/41 Wally Lopez & Ismael Rivas - Rock The Box [Go Deeva; GDV 08-01] Vinyl 2008/B2 Wally Lopez & Ismael Rivas - Rock The Box (Rene Sandoval No Time Reworked Mix).mp3,18.6,M
01 Wally Lopez/41 Wally Lopez & Ismael Rivas - Rock The Box [Go Deeva; GDV 08-01] Vinyl 2008/B1 Wally Lopez & Ismael Rivas - Rock The Box (Willy De Loren & Jacoby Rmx).mp3,18.01,M
01 Wally Lopez/42 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 026] Vinyl 2008/A2 Wally Lopez & David Ferrero - Ca C'est Paris (Paolo Mojo Dub Remix).mp3,20.6,M
01 Wally Lopez/42 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 026] Vinyl 2008/A1 Wally Lopez & David Ferrero - Ca C'est Paris (Paolo Mojo Remix).mp3,19.86,M
01 Wally Lopez/42 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 026] Vinyl 2008/B1 Wally Lopez & David Ferrero - Ca C'est Paris (Ismael Rivas Factomania Remix).mp3,18.47,M
01 Wally Lopez/42 Wally Lopez & David Ferrero - Ca C'est Paris [The Factoria; FACTO 026] Vinyl 2008/B2 Wally Lopez & David Ferrero - Ca C'est Paris (Ivan Pica & Oscar L Remix).mp3,16.43,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/08 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Abel The Kid & Raul Ortiz Remix).mp3,20.99,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/05 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Albert Neve Dub Remix).mp3,20.65,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/06 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Albert Neve Strings Remix).mp3,20.58,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/04 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Albert Neve 808 Remix).mp3,20.58,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/07 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Wally Lopez Factomania Remix).mp3,17.88,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/09 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Rousseau Remix).mp3,17.25,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/10 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Rousseau Dub Remix).mp3,15.53,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/03 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Original Dubby Mix).mp3,15.47,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/01 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Original Vocal Mix).mp3,15.47,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/11 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Ricky Garcia On The Air Remix).mp3,11.58,M
01 Wally Lopez/43 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside [The Factoria; FACTO 030] WEB 2008/02 Wally Lopez feat. Hadley & Dani-Vi - Burning Inside (Radio Edit).mp3,10.34,M
01 Wally Lopez/44 Wally Lopez - Wideband EP [Jesus Loved You; JLY013] WEB 2008/01 Wally Lopez - Wideband (Original Mix).mp3,18.79,M
01 Wally Lopez/44 Wally Lopez - Wideband EP [Jesus Loved You; JLY013] WEB 2008/03 Wally Lopez - Wideband (Shusi Khijada Remix).mp3,16.84,M
01 Wally Lopez/44 Wally Lopez - Wideband EP [Jesus Loved You; JLY013] WEB 2008/02 Wally Lopez - Wideband (Mark Broom Rough Remix).mp3,12.17,M
01 Wally Lopez/45 Wally Lopez - Hijinx [Formula; FOR 009] WEB 2008/01 Wally Lopez - Hijinx (Melody Mix).mp3,10.95,M
01 Wally Lopez/45 Wally Lopez - Hijinx [Formula; FOR 009] WEB 2008/02 Wally Lopez - Hijinx (Non Melody Mix).mp3,10.92,M
01 Wally Lopez/45 Wally Lopez - Hijinx [Formula; FOR 009] WEB 2008/03 Wally Lopez - Hijinx (Siwell & Virtullo Remix).mp3,10.66,M
01 Wally Lopez/45 Wally Lopez - Hijinx [Formula; FOR 009] WEB 2008/04 Wally Lopez - Hijinx (Maxie Devine & Verrus meet Simone Vitullo Remix).mp3,10.1,M
01 Wally Lopez/46 Wally Lopez - Patricia Never Left The House [The Factoria; FACTO 033] WEB 2009/02 Wally Lopez - Patricia Never Left The House (Kamisshake Remix).mp3,19.31,M
01 Wally Lopez/46 Wally Lopez - Patricia Never Left The House [The Factoria; FACTO 033] WEB 2009/01 Wally Lopez - Patricia Never Left The House (Original Rework 2009).mp3,19.08,M
01 Wally Lopez/46 Wally Lopez - Patricia Never Left The House [The Factoria; FACTO 033] WEB 2009/03 Wally Lopez - Patricia Never Left The House (Paul Thomas & Alex Calver Remix).mp3,16.5,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/06 Wally Lopez - Close To Me (Jerry Ropero & DJ Mind Remix).mp3,19.24,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/08 Wally Lopez feat. Hadley - Burning Inside (Tikaro & J Louis & Ferran Remix).mp3,17.38,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/07 Wally Lopez - Close To Me (Robbie Rivera Remix).mp3,16.67,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/01 Wally Lopez - Close To Me (House Mix).mp3,16.67,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/05 Wally Lopez - Close To Me (Magic Solutions Remix).mp3,14.95,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/03 Wally Lopez - Close To Me (Violin Album Mix).mp3,12.51,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/02 Wally Lopez - Close To Me (House Radio Mix).mp3,9.16,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/09 Wally Lopez feat. Hadley - Burning Inside (Tikaro & J Louis & Ferran Radio Edit).mp3,9.02,M
01 Wally Lopez/47 Wally Lopez - Close To Me [The Factoria; FACTO 035] WEB 2009/04 Wally Lopez - Close To Me (Violin Album Radio Mix).mp3,8.05,M
01 Wally Lopez/48 Wally Lopez - Patricia Never Left The House (Remixes 2nd Edition) [The Factoria; FACTO 034] WEB 2009/02 Wally Lopez - Patricia Never Left The House (Amo & Navas Soft Remix).mp3,16.42,M
01 Wally Lopez/48 Wally Lopez - Patricia Never Left The House (Remixes 2nd Edition) [The Factoria; FACTO 034] WEB 2009/01 Wally Lopez - Patricia Never Left The House (Amo & Navas Knockout Remix).mp3,15.64,M
01 Wally Lopez/48 Wally Lopez - Patricia Never Left The House (Remixes 2nd Edition) [The Factoria; FACTO 034] WEB 2009/04 Wally Lopez - Patricia Never Left The House (Rene Sandoval Beatmaniacs Remix).mp3,15.31,M
01 Wally Lopez/48 Wally Lopez - Patricia Never Left The House (Remixes 2nd Edition) [The Factoria; FACTO 034] WEB 2009/03 Wally Lopez - Patricia Never Left The House (Dean Newton & Huggy Remix).mp3,13.21,M
